Sensor_Name,latitude,longitude,location
Building 80 RMIT,-37.80825648,144.9630486,"(-37.80825648, 144.96304859)"
Melbourne Convention Exhibition Centre,-37.82401776,144.9560443,"(-37.82401776, 144.95604426)"
Spencer St-Collins St (South),-37.81909256,144.9545275,"(-37.81909256, 144.95452749)"
Chinatown-Lt Bourke St (South),-37.81172913,144.9682466,"(-37.81172913, 144.9682466)"
Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)"
Bourke St Bridge,-37.8176735,144.950256,"(-37.8176735, 144.95025595)"
Lonsdale St-Spring St (West),-37.80999341,144.9722759,"(-37.80999341, 144.97227588)"
Lygon St (West),-37.8016968,144.9665891,"(-37.8016968, 144.96658911)"
Flinders La-Swanston St (West),-37.81668633,144.9668973,"(-37.81668633, 144.96689733)"
Chinatown-Swanston St (North),-37.81237202,144.9655067,"(-37.81237202, 144.96550671)"
Lygon St (East),-37.80310271,144.9667145,"(-37.80310271, 144.96671452)"
Queen St (West),-37.81652527,144.9612106,"(-37.81652527, 144.96121063)"
Bourke St - Spencer St (North),-37.81686074,144.9535808,"(-37.81686074, 144.95358075)"
Webb Bridge,-37.82293543,144.9471751,"(-37.82293543, 144.94717511)"
Waterfront City,-37.81564989,144.939707,"(-37.81564989, 144.93970695)"
St Kilda Rd-Alexandra Gardens,-37.81965808,144.9686345,"(-37.81965808, 144.96863453)"
Collins Place (North),-37.81344861,144.9730535,"(-37.81344861, 144.97305354)"
QVM-Therry St (South),-37.80730067,144.9595606,"(-37.80730067, 144.95956055)"
QV Market-Elizabeth St (West),-37.80869542,144.960494,"(-37.80869542, 144.96049404)"
Australia on Collins,-37.81573423,144.9652104,"(-37.81573423, 144.96521044)"
Flinders St-Elizabeth St (East),-37.81786445,144.9650682,"(-37.81786445, 144.96506823)"
Collins Place (South),-37.81362542,144.9732359,"(-37.81362542, 144.97323592)"
Spencer St-Collins St (North),-37.81887962,144.954492,"(-37.81887962, 144.95449198)"
Alfred Place,-37.81379749,144.9699575,"(-37.81379749, 144.96995745)"
QV Market-Peel St,-37.80606888,144.9564469,"(-37.80606888, 144.95644693)"
State Library,-37.81064378,144.9644713,"(-37.81064378, 144.96447132)"
The Arts Centre,-37.82129924,144.9687931,"(-37.82129924, 144.96879309)"
Tin Alley-Swanston St (West),-37.79690473,144.9644038,"(-37.79690473, 144.96440378)"
Flinders St-Spring St (West),-37.81483252,144.9745406,"(-37.81483252, 144.97454056)"
Melbourne Central-Elizabeth St (East)Melbourne Central-Elizabeth St (East),-37.81160331,144.9622008,"(-37.81160331, 144.96220077)"
Flinders La - Swanston St (West) Temporary,-37.81668188,144.9668954,"(-37.81668188, 144.9668954)"
QVM-Queen St (East),-37.80631581,144.958667,"(-37.80631581, 144.95866698)"
QVM-Franklin St (North),-37.80841814,144.9590632,"(-37.80841814, 144.95906317)"
Victoria Point,-37.81876473,144.9471055,"(-37.81876473, 144.94710545)"
Monash Rd-Swanston St (West),-37.79844525,144.9641178,"(-37.79844525, 144.96411782)"
New Quay,-37.81457987,144.942924,"(-37.81457987, 144.94292398)"
Collins Street (North),-37.8156419,144.965499,"(-37.8156419, 144.965499)"
Melbourne Central,-37.81101523,144.9642949,"(-37.81101523, 144.96429485)"
Southern Cross Station,-37.81982992,144.9510256,"(-37.81982992, 144.95102556)"
Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)"
Lonsdale St (South),-37.81121849,144.9665681,"(-37.81121849, 144.96656807)"
Flinders Street Station Underpass,-37.81911704,144.9655826,"(-37.81911704, 144.96558256)"
Flinders St-Swanston St (West),-37.81723437,144.9671503,"(-37.81723437, 144.96715033)"
City Square,-37.81573742,144.9668572,"(-37.81573742, 144.96685718)"
Sandridge Bridge,-37.82011242,144.962919,"(-37.82011242, 144.96291898)"
Birrarung Marr,-37.81832375,144.9714148,"(-37.81832375, 144.97141482)"
Bourke St-Russell St (West),-37.81244703,144.9677876,"(-37.81244703, 144.96778757)"
Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)"
Pelham St (South),-37.80240719,144.9615673,"(-37.80240719, 144.96156731)"
Lonsdale St - Elizabeth St (North),-37.81234775,144.9615331,"(-37.81234775, 144.96153311)"
Flagstaff Station,-37.81239679,144.9565265,"(-37.81239679, 144.95652653)"
Grattan St-Swanston St (West),-37.80008565,144.9638641,"(-37.80008565, 144.96386412)"
Princes Bridge,-37.81874249,144.9678766,"(-37.81874249, 144.96787656)"
Faraday St-Lygon St (West),-37.79808191,144.9672101,"(-37.79808191, 144.96721014)"
Elizabeth St-Lonsdale St (South),-37.81252157,144.9619401,"(-37.81252157, 144.9619401)"
Bourke Street Mall (South),-37.81380667,144.9651672,"(-37.81380667, 144.96516719)"
Southbank,-37.82017828,144.9650888,"(-37.82017828, 144.96508877)"
Little Collins St-Swanston St (East),-37.81414074,144.9660938,"(-37.81414074, 144.9660938)"
Bourke Street Mall (North),-37.8134944,144.9651532,"(-37.8134944, 144.96515324)"
Elizabeth St-La Trobe St (East),-37.81006172,144.9614234,"(-37.81006172, 144.96142335)"